name,building,type,lat,lng,traffic,avgTicket,expenses,satisfaction,monthlyRevenue,monthlyProfit,profitMargin
Shake Smart,Student Life Center,Beverage/snack,40.7649180192931,-111.838109887433,500.0,8.4,87000.0,4.1,126000.0,39000.0,0.30952380952380953
Starbucks,Marriott Library,Coffee,40.762403958581,-111.846628427376,980.0,6.95,121000.0,4.3,204330.0,83330.0,0.40782068222972645
United Table,Peterson Heritage Center,Dining hall,40.7662254181676,-111.83127132041,1290.0,11.3,269000.0,3.7,437310.00000000006,168310.00000000006,0.38487571745443744
Café Epicenter,Epicenter,Cafe,40.7652904931546,-111.841297090598,390.0,8.6,72000.0,4.0,100620.0,28620.0,0.2844364937388193
Store Front,Peterson Heritage Center,Market,40.7660804400889,-111.831239854061,520.0,7.95,84000.0,3.9,124020.0,40020.0,0.32268988872762455
Café Madsen,David Eccles School of Business,Cafe,40.7616723839133,-111.843498639879,510.0,8.85,89000.0,4.1,135405.0,46405.0,0.3427126029319449
U Hungry Café,Turpin University Services Building,Cafe,40.761434544745,-111.840071245409,340.0,8.25,62000.0,3.8,84150.0,22150.0,0.26322043969102793
Seagull Sunrise,C Roland Christensen Center,Cafe,40.7612248791123,-111.84388192674,280.0,8.1,51000.0,4.0,68040.0,17040.0,0.25044091710758376
Brio Coffee,Architecture Building,Coffee,40.7611486160799,-111.844513943489,310.0,6.75,48000.0,4.2,62775.0,14775.0,0.23536439665471923
Museum Café,Utah Museum of Fine Arts,Cafe,40.7603202856555,-111.843379312685,260.0,9.1,52000.0,4.3,70980.0,18980.0,0.2673992673992674
Cup Bop,Gardner Commons,Quick service,40.7636535707648,-111.844859313574,620.0,10.25,111000.0,4.2,190650.0,79650.0,0.4177812745869394
Absurd Bird,Gardner Commons,Quick service,40.763688083349,-111.844961296029,540.0,10.4,98000.0,4.0,168480.0,70480.0,0.41832858499525166
Iron Waffle,Gardner Commons,Quick service,40.7637168438221,-111.844971060306,460.0,9.75,84000.0,4.1,134550.0,50550.0,0.3756967670011148
Rooted,Gardner Commons,Quick service,40.7637299914629,-111.844978654744,430.0,9.95,79000.0,4.2,128355.0,49355.0,0.38451949670834795
Gardner Commons Food Court,Gardner Commons,Food court,40.7636798660687,-111.845010117416,1180.0,9.1,235000.0,3.9,322140.0,87140.0,0.2705035077916434
Starbucks,Campus Store,Coffee,40.7635989012359,-111.847505882527,820.0,6.95,104000.0,4.2,170970.0,66970.0,0.39170614727730013
U Market,Campus Store,Market,40.7634052621301,-111.847541452499,610.0,7.8,92000.0,3.8,142740.0,50740.0,0.3554714866190276
Brio Coffee,Skaggs Biology Building,Coffee,40.7635350620722,-111.848647473022,360.0,6.9,56000.0,4.1,74520.0,18520.0,0.24852388620504562
Inti Café,Olpin Student Union,Cafe,40.7650840572477,-111.845623194443,520.0,8.75,88000.0,4.0,136500.0,48500.0,0.3553113553113553
Shake Smart,Olpin Student Union,Beverage/snack,40.7651074038811,-111.845826105685,570.0,8.4,93000.0,4.1,143640.0,50640.0,0.35254803675856305
Hive Express,Olpin Student Union,Market,40.7651369411218,-111.846520280457,760.0,7.95,112000.0,3.9,181260.0,69260.0,0.3821030563830961
Einstein Brothers,Olpin Student Union,Quick service,40.7650040234338,-111.845892403275,680.0,9.4,126000.0,4.0,191760.0,65760.0,0.3429286608260325
Crossroads Bistro,Olpin Student Union,Food court,40.7651074038798,-111.846352586551,900.0,9.6,164000.0,3.8,259200.0,95200.0,0.36728395061728397
El Tonga Taco,Olpin Student Union,Quick service,40.7650955889798,-111.846122494913,620.0,10.15,112000.0,4.1,188790.0,76790.0,0.40674823878383387
Saffron Valley,Olpin Student Union,Quick service,40.7651103576044,-111.846056197323,590.0,10.35,108000.0,4.2,183195.0,75195.0,0.41046425939572584
Panda Express,Olpin Student Union,Quick service,40.7651221725018,-111.845915802425,720.0,10.8,147000.0,4.0,233280.00000000003,86280.00000000003,0.36985596707818935
Crimson View,Olpin Student Union,Dining hall,40.7651605709049,-111.846863467985,730.0,10.25,178000.0,4.1,224475.0,46475.0,0.20703864572892305
Two Creek Coffee House,Department of Military Science,Coffee,40.7613451067791,-111.85192940679,250.0,6.85,41000.0,4.0,51375.0,10375.0,0.20194647201946472
Counsel Café,Quinney College of Law,Cafe,40.7611108229271,-111.851354673311,290.0,9.35,54000.0,4.0,81345.0,27345.0,0.33616079660704407
Two Creek Coffee House,Browning Building,Coffee,40.766244431929,-111.847528112915,330.0,6.85,52000.0,4.1,67815.0,15815.0,0.23320799233207992
Quartzdyne Café,Kennecott Mechanical Engineering Building,Cafe,40.7676025510749,-111.847606194192,370.0,8.95,65000.0,4.0,99344.99999999999,34344.999999999985,0.3457144295133121
Starley Commons Café,Warnock Engineering Building,Cafe,40.7677678711698,-111.845000219084,410.0,8.75,71000.0,4.2,107625.0,36625.0,0.3403019744483159
Urban Pioneer Café,Sorenson Molecular Biotechnology Building,Cafe,40.7685400920576,-111.842575456531,450.0,8.9,79000.0,4.1,120150.0,41150.0,0.342488555971702
Honors Market,Honors Residential Scholars Community,Market,40.7637635435355,-111.837150951158,360.0,8.25,69000.0,3.8,89100.0,20100.0,0.2255892255892256
Miller Cafe,Lassonde Studios,Cafe,40.7646439258922,-111.841480811401,420.0,8.7,78000.0,4.0,109619.99999999999,31619.999999999985,0.2884510125889435
Urban Bites,Kahlert Village,Dining hall,40.76377041707164,-111.8381601683451,1120.0,11.1,231000.0,3.9,372960.0,141960.0,0.38063063063063063
